Date,Demand
1/1/1981,143
1/2/1981,103
1/3/1981,112
1/4/1981,117
1/5/1981,145
1/6/1981,214
1/7/1981,128
1/8/1981,121
1/9/1981,183
1/10/1981,132
1/11/1981,127
1/12/1981,79
1/13/1981,115
1/14/1981,98
1/15/1981,156
1/16/1981,163
1/17/1981,162
1/18/1981,131
1/19/1981,154
1/20/1981,100
1/21/1981,132
1/22/1981,134
1/23/1981,160
1/24/1981,148
1/25/1981,155
1/26/1981,105
1/27/1981,120
1/28/1981,140
1/29/1981,155
1/30/1981,140
1/31/1981,126
2/1/1981,163
2/2/1981,162
2/3/1981,146
2/4/1981,128
2/5/1981,178
2/6/1981,105
2/7/1981,130
2/8/1981,131
2/9/1981,158
2/10/1981,147
2/11/1981,160
2/12/1981,115
2/13/1981,171
2/14/1981,78
2/15/1981,133
2/16/1981,159
2/17/1981,134
2/18/1981,108
2/19/1981,124
2/20/1981,103
2/21/1981,162
2/22/1981,71
2/23/1981,116
2/24/1981,65
2/25/1981,160
2/26/1981,159
2/27/1981,90
2/28/1981,169
3/1/1981,176
3/2/1981,114
3/3/1981,122
3/4/1981,89
3/5/1981,135
3/6/1981,159
3/7/1981,152
3/8/1981,178
3/9/1981,126
3/10/1981,175
3/11/1981,149
3/12/1981,134
3/13/1981,143
3/14/1981,141
3/15/1981,112
3/16/1981,190
3/17/1981,177
3/18/1981,151
3/19/1981,140
3/20/1981,105
3/21/1981,122
3/22/1981,145
3/23/1981,163
3/24/1981,152
3/25/1981,139
3/26/1981,117
3/27/1981,153
3/28/1981,153
3/29/1981,122
3/30/1981,126
3/31/1981,135
4/1/1981,136
4/2/1981,156
4/3/1981,93
4/4/1981,96
4/5/1981,142
4/6/1981,141
4/7/1981,152
4/8/1981,164
4/9/1981,116
4/10/1981,140
4/11/1981,131
4/12/1981,130
4/13/1981,82
4/14/1981,124
4/15/1981,197
4/16/1981,107
4/17/1981,116
4/18/1981,150
4/19/1981,137
4/20/1981,190
4/21/1981,103
4/22/1981,182
4/23/1981,108
4/24/1981,86
4/25/1981,133
4/26/1981,110
4/27/1981,127
4/28/1981,178
4/29/1981,188
4/30/1981,152
5/1/1981,85
5/2/1981,173
5/3/1981,139
5/4/1981,140
5/5/1981,112
5/6/1981,124
5/7/1981,122
5/8/1981,100
5/9/1981,148
5/10/1981,148
5/11/1981,152
5/12/1981,65
5/13/1981,107
5/14/1981,117
5/15/1981,159
5/16/1981,129
5/17/1981,119
5/18/1981,157
5/19/1981,162
5/20/1981,145
5/21/1981,160
5/22/1981,138
5/23/1981,141
5/24/1981,114
5/25/1981,88
5/26/1981,164
5/27/1981,154
5/28/1981,168
5/29/1981,131
5/30/1981,103
5/31/1981,149
6/1/1981,187
6/2/1981,116
6/3/1981,165
6/4/1981,118
6/5/1981,136
6/6/1981,97
6/7/1981,102
6/8/1981,173
6/9/1981,85
6/10/1981,187
6/11/1981,138
6/12/1981,106
6/13/1981,113
6/14/1981,120
6/15/1981,147
6/16/1981,173
6/17/1981,135
6/18/1981,130
6/19/1981,145
6/20/1981,154
6/21/1981,147
6/22/1981,121
6/23/1981,144
6/24/1981,83
6/25/1981,130
6/26/1981,112
6/27/1981,181
6/28/1981,143
6/29/1981,148
6/30/1981,160
7/1/1981,119
7/2/1981,128
7/3/1981,142
7/4/1981,145
7/5/1981,144
7/6/1981,147
7/7/1981,119
7/8/1981,85
7/9/1981,155
7/10/1981,150
7/11/1981,77
7/12/1981,146
7/13/1981,165
7/14/1981,110
7/15/1981,149
7/16/1981,83
7/17/1981,139
7/18/1981,166
7/19/1981,151
7/20/1981,170
7/21/1981,112
7/22/1981,146
7/23/1981,124
7/24/1981,108
7/25/1981,95
7/26/1981,159
7/27/1981,110
7/28/1981,153
7/29/1981,150
7/30/1981,112
7/31/1981,108
8/1/1981,145
8/2/1981,139
8/3/1981,127
8/4/1981,141
8/5/1981,171
8/6/1981,159
8/7/1981,110
8/8/1981,119
8/9/1981,153
8/10/1981,154
8/11/1981,139
8/12/1981,52
8/13/1981,105
8/14/1981,165
8/15/1981,170
8/16/1981,97
8/17/1981,93
8/18/1981,141
8/19/1981,175
8/20/1981,170
8/21/1981,100
8/22/1981,152
8/23/1981,113
8/24/1981,104
8/25/1981,107
8/26/1981,93
8/27/1981,179
8/28/1981,164
8/29/1981,92
8/30/1981,153
8/31/1981,131
9/1/1981,158
9/2/1981,132
9/3/1981,140
9/4/1981,136
9/5/1981,154
9/6/1981,145
9/7/1981,112
9/8/1981,163
9/9/1981,78
9/10/1981,164
9/11/1981,92
9/12/1981,121
9/13/1981,122
9/14/1981,126
9/15/1981,125
9/16/1981,85
9/17/1981,152
9/18/1981,100
9/19/1981,137
9/20/1981,127
9/21/1981,108
9/22/1981,103
9/23/1981,166
9/24/1981,80
9/25/1981,105
9/26/1981,141
9/27/1981,126
9/28/1981,125
9/29/1981,172
9/30/1981,157
10/1/1981,154
10/2/1981,185
10/3/1981,168
10/4/1981,125
10/5/1981,145
10/6/1981,121
10/7/1981,168
10/8/1981,142
10/9/1981,145
10/10/1981,136
10/11/1981,96
10/12/1981,121
10/13/1981,162
10/14/1981,197
10/15/1981,166
10/16/1981,140
10/17/1981,158
10/18/1981,125
10/19/1981,147
10/20/1981,157
10/21/1981,135
10/22/1981,120
10/23/1981,142
10/24/1981,119
10/25/1981,151
10/26/1981,124
10/27/1981,175
10/28/1981,147
10/29/1981,118
10/30/1981,148
10/31/1981,114
11/1/1981,140
11/2/1981,114
11/3/1981,139
11/4/1981,139
11/5/1981,112
11/6/1981,147
11/7/1981,120
11/8/1981,173
11/9/1981,133
11/10/1981,135
11/11/1981,130
11/12/1981,141
11/13/1981,67
11/14/1981,140
11/15/1981,121
11/16/1981,114
11/17/1981,122
11/18/1981,122
11/19/1981,87
11/20/1981,144
11/21/1981,114
11/22/1981,189
11/23/1981,125
11/24/1981,170
11/25/1981,106
11/26/1981,187
11/27/1981,130
11/28/1981,201
11/29/1981,116
11/30/1981,168
12/1/1981,123
12/2/1981,134
12/3/1981,171
12/4/1981,142
12/5/1981,169
12/6/1981,151
12/7/1981,115
12/8/1981,149
12/9/1981,127
12/10/1981,153
12/11/1981,103
12/12/1981,152
12/13/1981,132
12/14/1981,148
12/15/1981,137
12/16/1981,120
12/17/1981,177
12/18/1981,90
12/19/1981,123
12/20/1981,134
12/21/1981,142
12/22/1981,152
12/23/1981,114
12/24/1981,172
12/25/1981,148
12/26/1981,118
12/27/1981,139
12/28/1981,71
12/29/1981,157
12/30/1981,141
12/31/1981,165
1/1/1982,184
1/2/1982,120
1/3/1982,126
1/4/1982,159
1/5/1982,186
1/6/1982,145
1/7/1982,111
1/8/1982,146
1/9/1982,161
1/10/1982,125
1/11/1982,120
1/12/1982,164
1/13/1982,142
1/14/1982,143
1/15/1982,164
1/16/1982,138
1/17/1982,128
1/18/1982,145
1/19/1982,83
1/20/1982,177
1/21/1982,128
1/22/1982,134
1/23/1982,158
1/24/1982,159
1/25/1982,100
1/26/1982,159
1/27/1982,132
1/28/1982,164
1/29/1982,126
1/30/1982,136
1/31/1982,93
2/1/1982,165
2/2/1982,142
2/3/1982,143
2/4/1982,128
2/5/1982,137
2/6/1982,157
2/7/1982,140
2/8/1982,103
2/9/1982,90
2/10/1982,129
2/11/1982,141
2/12/1982,106
2/13/1982,170
2/14/1982,143
2/15/1982,115
2/16/1982,146
2/17/1982,146
2/18/1982,193
2/19/1982,153
2/20/1982,139
2/21/1982,112
2/22/1982,136
2/23/1982,140
2/24/1982,128
2/25/1982,149
2/26/1982,97
2/27/1982,141
2/28/1982,167
3/1/1982,74
3/2/1982,134
3/3/1982,119
3/4/1982,122
3/5/1982,179
3/6/1982,144
3/7/1982,107
3/8/1982,147
3/9/1982,124
3/10/1982,192
3/11/1982,117
3/12/1982,142
3/13/1982,101
3/14/1982,143
3/15/1982,114
3/16/1982,139
3/17/1982,125
3/18/1982,142
3/19/1982,139
3/20/1982,172
3/21/1982,167
3/22/1982,150
3/23/1982,150
3/24/1982,183
3/25/1982,170
3/26/1982,73
3/27/1982,148
3/28/1982,145
3/29/1982,144
3/30/1982,103
3/31/1982,109
4/1/1982,150
4/2/1982,113
4/3/1982,202
4/4/1982,100
4/5/1982,94
4/6/1982,177
4/7/1982,129
4/8/1982,141
4/9/1982,94
4/10/1982,89
4/11/1982,166
4/12/1982,67
4/13/1982,144
4/14/1982,143
4/15/1982,139
4/16/1982,144
4/17/1982,129
4/18/1982,122
4/19/1982,84
4/20/1982,171
4/21/1982,99
4/22/1982,72
4/23/1982,116
4/24/1982,165
4/25/1982,124
4/26/1982,131
4/27/1982,129
4/28/1982,149
4/29/1982,177
4/30/1982,180
5/1/1982,122
5/2/1982,129
5/3/1982,131
5/4/1982,124
5/5/1982,154
5/6/1982,152
5/7/1982,110
5/8/1982,170
5/9/1982,122
5/10/1982,132
5/11/1982,122
5/12/1982,118
5/13/1982,170
5/14/1982,144
5/15/1982,137
5/16/1982,142
5/17/1982,210
5/18/1982,131
5/19/1982,121
5/20/1982,94
5/21/1982,141
5/22/1982,102
5/23/1982,99
5/24/1982,134
5/25/1982,154
5/26/1982,117
5/27/1982,123
